Name,Density,MinCol,MaxCol,StdCol,MinRow,MaxRow,StdRow,reducts,BR_time,BR_cand,GAP_time,GAP_cand,CT_time,CT_cand,faster
BM2000x30_13-23_s216915141.txt,0.5718,1097,1189,0.0096,13,23,0.0864,836721,3701,12077754,12212,27858622,12325,30258048,fastBR
BM2000x30_13-25_s17456606.txt,0.5735,1102,1196,0.0109,13,23,0.0857,816956,3491,11292889,11476,26188862,11438,28465509,fastBR
BM2000x30_13-25_s895160950.txt,0.5739,1094,1220,0.0134,13,23,0.0853,823382,3388,11323181,11166,25863600,11189,28092871,fastBR
BM2000x30_13-25_s269327586.txt,0.5741,1121,1206,0.0101,13,23,0.088,824005,3518,11951053,12490,27718213,12363,29967567,fastBR
BM2000x30_13-27_s810402599.txt,0.5749,1096,1179,0.01,13,24,0.0891,814350,3457,12005923,10686,25816042,11314,28330588,fastBR
BM2000x30_13-29_s1020077148.txt,0.5768,1113,1190,0.009,13,23,0.0868,795631,3278,11075396,10762,25117178,11119,27250111,fastBR
BM2000x30_13-27_s344429802.txt,0.5783,1112,1194,0.0087,13,23,0.0866,782079,3251,10726363,10706,24373985,11050,26555868,fastBR
BM2000x30_13-27_s1006456926.txt,0.5786,1119,1192,0.01,13,23,0.0872,790169,3231,10925211,10992,25149911,10614,27370269,fastBR
BM2000x30_13-29_s137298232.txt,0.5786,1114,1213,0.01,13,23,0.0868,794672,3158,10674799,10424,24692903,11049,26899444,fastBR
BM2000x30_14-22_s110305285.txt,0.5872,1124,1222,0.0125,14,22,0.079,701307,2495,8180350,7971,18128856,8103,19520668,fastBR
BM2000x30_14-22_s721873904.txt,0.5898,1143,1224,0.0101,14,22,0.0814,702917,2516,8126276,8238,18603068,8377,19965272,fastBR
BM2000x30_14-22_s235659422.txt,0.5908,1144,1229,0.0101,14,22,0.0809,675329,2452,8038395,8353,18699778,8380,19914185,fastBR
BM2000x30_14-24_s231723691.txt,0.5966,1151,1242,0.0117,14,24,0.0844,642058,2266,7734487,7861,18017864,8206,19154775,fastBR
BM2000x30_15-21_s813249034.txt,0.5971,1158,1239,0.0099,15,21,0.0671,528681,1950,6166933,5913,12852599,5741,13583737,fastBR
BM2000x30_14-24_s461488661.txt,0.5977,1159,1239,0.0115,14,24,0.0815,612258,2175,7442135,6829,16011212,7046,17170861,fastBR
BM2000x30_15-21_s765511763.txt,0.5979,1140,1244,0.0112,15,21,0.0655,514930,1777,5913989,5841,12291555,5597,13050107,fastBR
BM2000x30_14-24_s780957507.txt,0.5979,1161,1233,0.0084,14,24,0.0824,608536,2223,7364545,6931,16303833,7085,17433364,fastBR
